frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,171.986929,128.1575922,170.8285018,140.564841
2,171.7187403,129.6870498,170.8285018,141.3611179
3,171.6509828,131.0635385,170.8947755,142.1268923
4,172.8531571,131.0843204,170.2361682,142.9682124
5,173.3198511,130.752308,169.5898595,143.1388093
6,173.3918225,130.8363874,168.9334858,143.3047009
7,173.5000621,130.3778582,169.2256565,143.0101121
8,171.916404,129.9717681,170.5074441,142.0478894
9,172.9340514,128.9778844,168.9318984,142.7421138
10,173.6260277,128.5643841,167.9468316,143.3614444
11,173.6260277,128.4901449,167.6447992,142.7537514
12,175.6198115,128.3729406,166.6497954,143.8970516
13,176.0182048,127.7462691,166.9398124,143.2367563
14,176.8068375,126.5067237,167.6314722,142.5758951
15,177.6157077,126.7661256,167.6314722,142.7917858
16,178.7621307,127.8749837,167.2166515,143.239237
17,179.1736166,127.5618951,167.2166515,143.1849308
18,179.6987928,128.6929779,166.7269252,143.6902773
19,179.2756924,129.2131251,167.210808,144.7399229
20,179.0119631,129.2577366,167.1557655,144.8150808
21,179.026827,129.0960803,167.7520765,144.3804934
22,179.1801393,130.1314851,168.4644207,145.0029267
23,179.7433651,131.0130161,169.1142906,145.1884601
24,178.9659869,131.0347546,170.0539951,145.5914434
25,178.5391213,131.9253962,170.5332765,146.0979236
26,179.8753443,130.1968993,169.782982,146.8938584
27,178.9756216,129.4569111,170.6531862,147.4962506
28,179.4479586,129.2107122,171.1255232,148.0291142
29,179.1330927,128.9035625,171.1724101,147.8126455
30,179.1308014,130.7409591,171.3116807,147.0957112
31,179.2024076,132.6757206,172.2240964,147.2817619
32,177.9917242,135.3794808,171.9194334,147.3318146
33,177.5493797,137.2740888,171.5770662,147.5568389
34,177.7742158,140.0753957,172.2727625,147.3032469
35,176.9229946,143.6273531,171.4632855,148.1282354
36,176.5704548,146.7390338,171.4468528,148.6513188
37,177.0761862,146.9964613,172.2218994,148.4648315
38,177.4305541,147.8907803,171.8978878,148.9844672
39,176.5967913,150.2908212,171.4038037,149.3166168
40,176.4141989,153.506763,170.7583736,150.1578064
41,177.2231816,156.3123558,171.46093,150.0801505
42,176.2596245,160.2901486,170.864558,152.3004768
43,176.2205326,161.6537685,170.8254661,153.1464601
44,175.5773395,163.2739862,170.2166517,153.6161684
45,174.559668,165.8202392,168.9394228,155.344396
46,173.8345692,168.774002,167.5798565,158.0350445
47,172.9645882,169.835215,166.7029487,159.0531448
48,173.8582835,170.8566073,166.8437243,160.339643
49,174.5964676,169.3043442,166.8437243,159.1710461
50,175.5865288,169.4767661,167.7415469,159.5570278
51,175.6987322,168.3449915,167.8279223,158.3461357
52,177.074074,167.0953194,169.1397628,155.8978897
53,176.752453,167.7576688,168.4927748,155.6823802
54,176.8987957,166.8701932,166.9415518,155.278058
55,177.4033172,166.1696525,166.2449606,155.5071024
56,176.4440925,166.6051414,164.5680015,155.6207496
57,175.7981866,166.4462359,163.9172187,155.1911319
58,174.4116782,166.9306821,161.5667621,154.7968019
59,174.2242233,168.4580745,161.1147215,155.7822794
60,174.1366439,168.8486602,159.7319013,156.6610813
61,172.7811075,169.0669701,157.6269277,156.4997267
62,172.3411418,169.514639,156.4834647,157.3793607
63,172.1587145,169.9266079,156.7301974,157.1472758
64,170.7360985,171.104724,154.7531234,159.0420222
65,171.0989638,171.2291534,155.0821957,159.7392841
66,172.0235053,168.8796419,154.9917747,158.5538498
67,171.1985439,168.4300732,154.3328946,157.9051106
68,171.1729855,167.494933,153.9726073,157.9771047
69,171.3859428,167.0322984,152.9813749,158.5037535
70,170.8679754,166.3645195,151.9552749,157.8768366
71,169.2951624,166.1150099,150.5189174,158.5520532
72,168.2657611,165.0685828,149.2565038,158.7860907
73,166.1044118,164.6999126,143.5685088,160.0187176
74,166.0972027,164.2017687,140.087197,159.9291784
75,165.9161884,163.1137742,138.2904131,159.8385125
76,167.5140763,162.5546951,138.2608529,159.3905331
77,168.009165,160.98643,136.5263433,158.0741721
78,166.8866537,161.2548398,136.1501151,158.1997889
79,166.5322959,161.4315376,136.0645317,158.6207352
80,166.7516645,161.3338248,135.8572295,158.2476151
81,168.0063921,160.7971001,136.4134817,157.4378347
82,168.4712145,160.7721154,136.7236488,157.2696559
83,169.3030731,159.9185005,137.9094313,156.1616059
84,170.1412438,160.0964044,138.5802226,156.1730253
85,169.7748335,160.4962465,138.2138123,156.1730253
86,170.6164348,160.5232406,138.8823752,155.7551282
87,170.7535058,160.538777,139.1823073,155.5931393
88,172.3370908,160.1791333,140.1418322,155.6872175
89,172.4809211,159.3884356,140.4395518,154.8693612
90,173.3258899,159.2239577,140.3418655,154.6493641
91,173.3465142,159.6462776,140.558372,154.6493641
92,173.4955923,159.2775872,140.0504193,154.7561744
93,174.2507797,158.516958,141.0593878,153.7100661
94,175.9560368,159.7997009,142.418097,153.9635757
95,176.6338736,160.0698213,142.8420673,153.7621099
96,177.0711026,159.6288538,142.9797772,153.4349488
97,176.1974563,160.927296,142.0310565,154.4436875
98,175.0230293,160.4827766,141.5051122,153.2458545
99,175.6103616,161.6292122,142.0937584,153.9375305
100,175.0679126,162.5972959,142.4529848,153.9353359
101,176.2518805,163.4710929,144.198735,153.4980347
102,175.9086524,164.9226345,143.9434643,153.2489242
103,175.167244,165.2139472,143.8453971,153.2518958
104,175.1744864,164.3841166,143.3922826,153.1377519
105,173.0827132,165.3337897,141.9569739,153.1964827
106,170.4713866,166.0207814,140.3131049,152.5858722
107,169.2931587,167.0138323,139.5419957,152.6416059
108,168.468207,166.9282293,139.5695094,151.8353707
109,167.855722,166.530097,138.9107298,151.1892063
110,165.8861891,166.5627224,137.9265506,150.8239209
111,164.4106688,166.0327492,137.5554896,150.7534905
112,163.6686115,166.8907918,137.7636207,151.4393128
113,162.9209628,167.2280929,137.719746,152.1293121
114,162.5855533,169.0890865,138.3269629,152.4808011
115,162.8280392,169.0890865,138.2702384,152.4851511
116,162.4531511,170.5696826,138.7424686,152.3988865
117,163.184254,172.0214734,140.2719355,151.8974409
118,162.4234982,172.4994963,140.5696012,151.8985577
119,161.2085365,172.8962143,140.0331462,152.4330766
120,160.8163808,173.4123567,140.9337205,152.2746827
121,160.1247365,174.1086366,140.2917327,152.9236424
122,158.957773,174.6630929,139.6532016,152.7687489
123,158.5626748,175.1623787,139.3949588,153.2710342
124,158.0039756,176.1497004,139.8877081,153.5243454
125,157.2069871,177.2002919,139.849428,153.380065
126,155.9742776,177.9214027,139.4354752,153.6254271
127,155.9181658,178.5560528,139.174937,154.0207142
128,156.0774091,179.2270853,138.7196819,154.1979627
129,154.9579476,179.7008927,138.3644303,155.2849894
130,153.6296034,178.5126034,137.8668706,155.6961238
