frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,168.7187482,145.9637386,157.9524474,156.2499402
2,169.742886,144.1836719,157.4545121,155.602739
3,170.2665425,144.5770731,157.4545121,156.1165933
4,171.4745021,144.9447113,156.660853,156.5987335
5,173.3572942,144.2247712,155.8795602,156.9513824
6,174.0012346,144.2247712,155.7542242,156.9513824
7,175.8601594,144.5353104,154.751321,157.9400445
8,177.0602175,143.7404428,154.2164193,157.7230974
9,178.217841,144.2015412,154.0204367,158.8508553
10,178.5543487,144.8976536,153.6740449,159.8316834
11,178.9680209,145.345668,152.6715075,161.0242859
12,178.6298303,144.7253287,152.6715075,160.3424792
13,178.8259185,144.7851711,152.6715075,160.0327798
14,179.9288556,145.2101486,152.2663928,160.2183043
15,178.7731073,145.0192933,153.3036166,161.1173527
16,179.1365306,145.6307355,153.7918358,161.5167547
17,178.6724322,146.0496065,154.1468051,161.2433489
18,177.6229318,146.8178099,153.8218493,161.5897365
19,178.0086186,145.9140407,155.4399934,161.5677182
20,177.6568835,145.5702997,155.4681609,161.1752171
21,177.3778416,144.4264451,156.7720067,161.11366
22,177.8335127,144.9995271,156.8605077,161.1783462
23,176.6227691,145.3510514,157.2472978,161.8444573
24,176.6939843,145.1946537,157.9278497,161.4503612
25,173.9599753,148.7111661,157.2636562,162.0230538
26,173.7118217,149.0041296,157.1173785,162.3004027
27,171.3744123,152.121546,157.04055,162.3004027
28,171.3178488,152.8353725,156.960564,162.3004027
29,170.3926991,154.2067371,156.9399621,161.9036709
30,169.1220164,154.1531034,155.7820415,162.1278278
31,165.4191724,158.7317075,155.2834227,162.3789373
32,164.9160543,158.8503321,154.814701,162.3789373
33,162.5144816,163.2309811,154.4014214,162.2204412
34,162.9379857,166.1501903,153.7750028,163.2670264
35,163.5534399,167.5591719,154.0234822,163.1933872
36,163.1588659,168.0945074,154.3071011,163.1689918
37,165.3680802,168.8304981,155.2234741,161.6714177
38,165.8847143,168.7607158,155.6309391,161.8742885
39,166.2044937,171.0098088,156.0666898,159.7996574
40,166.4804748,172.4030999,155.9445773,159.8831992
41,166.8068413,171.8322241,155.9445773,158.3831877
42,166.2959898,171.8698976,155.5410581,158.700429
43,166.6197656,174.9618343,155.6509351,158.24225
44,166.5822227,175.4668504,155.6509351,157.9717238
45,165.9341999,177.0690154,154.9924758,157.6149997
46,165.984809,177.5567191,154.961353,157.6546012
47,166.0797006,178.8389645,155.2106846,159.0151238
48,166.0797006,178.301176,154.6473937,158.5799055
49,165.6694729,179.9464915,153.9428076,158.8809423
50,166.6592568,179.9674993,154.4489685,158.9329227
51,167.6262549,178.2850698,154.3577541,159.206659
52,167.9463834,178.9881876,154.1317859,160.0971977
53,168.2978455,178.6439478,153.3070735,160.7101906
54,168.6063018,176.9555043,152.6710504,161.1895638
55,169.5080775,175.4631649,152.7787758,163.3235567
56,169.2606852,173.8536455,151.871225,164.8247345
57,170.0409537,171.9515508,151.2208271,166.6144583
58,170.1737546,171.0943226,150.46051,167.284254
59,170.781325,170.9954233,149.8925502,168.5392946
60,171.0307713,170.5528169,150.2062156,168.5480841
61,172.8979645,171.7379253,150.1631651,168.8395795
62,172.3967027,172.7660353,150.0426179,168.2935633
63,172.7470674,172.9344278,149.509509,170.155486
64,172.7468054,174.2159541,150.1260199,168.9234848
65,172.4930255,174.1947316,148.8248662,170.1630219
66,171.6968613,174.9976303,148.4000202,169.8178414
67,171.2487029,174.9448852,147.3055036,171.6841225
68,171.5969552,175.4932243,147.432141,171.950545
69,170.3420271,176.5778352,146.1904223,173.0934599
70,170.3962458,176.3063307,146.3776923,173.7088817
71,169.9523182,176.517517,146.1517796,174.0215101
72,170.8606766,176.9221806,146.1449251,174.3260082
73,168.1715081,179.1730905,145.36892,174.1798421
74,168.1575412,179.3929815,145.6848192,174.1319165
75,167.3159608,179.736156,146.6028959,175.0768338
76,166.7101419,179.922521,147.0276211,175.882665
77,166.4741133,179.9372026,147.1930858,176.5193565
78,165.8736389,179.6501475,147.817813,176.3032085
79,163.661312,179.6501475,147.4259429,176.3116007
80,163.8511185,178.5458604,147.6995487,177.0365166
81,162.251586,179.5848976,148.9507624,176.3815873
82,162.3877175,179.6034043,149.2580973,176.7839934
83,160.858018,179.9894832,149.7000355,177.0793964
84,161.9437889,179.686626,150.4187119,176.4917852
85,160.6835233,179.2047124,152.3512188,177.625761
86,160.538467,179.2047124,152.8806956,177.8748091
87,160.3979651,178.788815,154.5139547,177.3728713
88,160.399593,178.4773726,155.1693972,177.6633467
89,162.068906,178.4773726,155.5047243,177.9362381
90,159.9257618,178.7541778,154.7896759,177.830471
91,162.71732,178.6949388,156.1007971,178.0304412
92,162.5969131,179.5327801,155.4430626,178.632722
93,161.9875788,179.5922171,156.6127597,178.8335269
94,162.2081088,179.7280031,157.2407295,178.2191571
95,163.1266783,179.4067217,158.3549588,178.154868
96,161.962093,179.5176833,158.2416632,177.2565533
97,163.9444512,178.5521497,160.4590924,178.0316825
98,163.5615191,178.4983687,160.4590924,178.2851272
99,163.6514065,179.4398636,162.0748564,177.4204768
100,164.8452114,178.7195912,163.1730994,178.0617686
101,164.8725403,178.6709507,163.6258381,177.6967723
102,165.2794587,178.2581465,164.1289176,177.6967723
103,165.0143389,179.2494201,164.6717358,176.5466837
104,163.8381392,178.4907598,164.3188295,175.1115991
105,164.3600182,178.8180497,164.8766633,174.0159585
106,165.2967722,177.8237547,165.0314026,173.3667423
107,166.8593094,178.0994402,166.3488928,173.5504653
108,167.285698,176.271129,166.0680127,172.2260479
109,167.2922404,176.7788472,166.2757087,171.4163785
110,167.3474435,177.0109804,166.2290129,171.0641173
111,167.8832771,175.5106368,165.444499,169.8470465
112,166.9964182,175.1207262,165.0906664,170.1245829
113,165.8572074,174.5039494,164.3780985,169.0113489
114,166.2626894,176.0591389,164.7259817,169.9217674
115,165.8211529,175.6079009,164.342044,169.1552008
116,165.04031,175.2550806,163.9971719,168.4167891
117,165.4762808,176.8366344,164.2762099,169.0962405
118,164.6723896,176.9256344,162.9662272,168.4993337
119,164.7159878,177.6676307,163.0098254,168.1830922
120,166.2670032,177.5545823,163.583722,167.9580258
121,165.8380162,179.027069,162.4457814,167.4628133
122,166.2240892,179.4913054,162.3481537,167.1605867
123,164.6571493,179.1791704,161.0600437,166.4596087
124,164.269274,179.7016934,160.6242349,167.0700515
125,163.4459807,179.4175753,160.1322897,166.6730123
126,163.4459807,178.9400861,160.3601551,167.0301303
127,163.0364226,178.0257628,158.9164198,166.1263336
128,163.0364226,177.6404944,158.9164198,166.1576815
129,161.8156887,179.6225662,157.4706813,164.3041678
130,161.478137,178.9207723,157.3676511,164.6206933
131,161.0586623,179.3866319,156.9044392,163.9588605
132,161.303421,179.6849439,156.8209216,163.8263024
133,160.1176098,179.3715523,156.5732819,163.1490324
134,159.4002176,179.9326314,155.6210798,163.1215278
135,159.3505657,178.3214832,154.9632798,162.2915438
136,158.9296205,178.4612287,154.8628407,162.1802576
137,159.20792,178.834924,154.9916017,162.2379572
138,158.7256346,178.9762101,154.6894911,162.3585596
139,158.5785161,179.0614244,154.3026927,161.6377615
140,158.5399365,179.0045176,154.7700753,160.8255958
141,159.3073258,179.8081292,154.7700753,160.2285946
142,159.199393,179.8081292,154.9929025,160.4934041
143,158.4333855,179.9295225,154.226895,159.9189577
144,158.5459832,179.2566978,154.6230828,160.2285946
145,158.9079102,179.8003474,154.2446198,159.2196521
146,158.9079102,179.6267737,154.2446198,159.2196521
147,158.543309,178.6399501,153.7762641,158.7567624
148,158.4359964,178.2853816,153.3238799,159.0230432
149,158.9247478,177.7717999,153.728546,158.8661033
150,158.4499864,177.7717999,152.9063299,158.5998225
151,158.4499864,177.1046834,152.9063299,158.0248864
152,159.1023718,176.5306851,151.9773555,158.5998225
153,160.3015659,175.6889598,149.8805707,158.9552255
154,160.9444948,174.9454451,149.5257562,158.9552255
155,161.8447775,174.2590074,149.3813946,158.0872081
156,163.2218009,174.0381899,149.7275223,158.5086536
157,163.6332977,172.9707073,148.212377,157.9117752
158,164.1712446,173.2969482,148.0720048,158.3969233
159,166.0845177,173.8215598,148.9307839,158.9009899
160,167.0053832,173.4376887,149.3720167,158.6348353
161,167.4462316,172.7423934,148.7243765,158.0402703
162,168.2065703,172.9421534,149.6473753,158.4981176
163,169.5031241,172.7788095,148.5760595,159.1195984
164,169.3404918,171.5559111,148.5760595,158.8080656
165,170.0392682,172.099362,147.6603371,159.4478654
166,170.9670303,171.9838405,148.7003337,159.184848
167,171.3406223,172.5039487,148.7003337,160.06503
168,170.9670303,171.9628711,148.4267196,159.7304933
169,172.2079219,171.6424799,148.3405,159.6653653
170,172.3993067,172.0315457,148.7334192,159.4044606
171,174.228932,171.7908746,149.0318879,159.7185892
172,175.716862,171.5104308,150.1929394,159.2755008
173,175.4394903,171.1210151,149.7715477,159.5525575
174,176.8662862,171.3442141,150.7271567,159.2997979
175,178.1112473,170.8897247,151.8373769,159.3892833
176,178.8172211,170.1172319,152.180755,159.3854414
177,178.3333155,169.9733102,151.9203991,159.0927909
178,178.309205,170.4747521,153.1653966,159.2849395
179,178.3333155,170.0893905,152.933484,159.5590673
180,178.6718006,170.2092436,153.8846969,159.1306522
181,178.4975797,170.4474956,152.8857621,159.4439548
182,179.5528337,170.6880355,152.9467338,159.4857125
183,179.5665309,171.011214,153.1629872,157.9833423
184,179.128657,171.2580192,152.9285422,158.046953
185,178.3582915,172.3269058,151.9776543,158.0704122
186,177.4714399,172.3269058,151.5885916,157.8245927
187,177.3764221,171.7700522,151.8671387,157.455605
188,177.282546,172.266205,151.9173297,157.8835673
189,176.1584309,171.8829172,151.7411708,157.1420592
190,176.2503695,172.369706,151.8340259,157.2455602
191,175.917057,172.369706,151.3200124,157.2902123
192,175.3281743,172.6909206,152.1595856,156.8403028
193,174.9975345,172.9450826,152.4089879,157.1880964
194,175.0897388,172.711152,152.4836303,157.087866
195,174.9712123,172.8710526,153.1698028,155.7842555
196,176.2458711,172.8357567,154.0401634,155.6834154
197,177.513139,172.2946153,155.3109381,155.2606162
198,177.4071646,172.2946153,155.3407006,155.2606162
199,177.5240151,172.6639504,155.9819014,155.9809063
200,177.9996222,172.1324231,156.5889278,155.8806294
201,177.7831459,172.5050798,157.4584719,155.7672872
202,177.9332037,173.0503336,157.5077169,156.1948907
203,178.8684299,173.1016141,158.8461275,156.327323
204,178.6575567,173.1016141,158.8030627,155.8150152
205,178.4495189,173.0586647,159.3093785,156.1456313
206,178.9298651,173.2038461,159.7022594,155.9799673
207,179.6202489,172.7743619,160.4633451,155.9799673
208,178.6516322,172.7796558,160.7923226,156.8214872
209,178.2843911,172.5981468,159.5874344,157.3222919
210,177.6152737,172.5556011,159.3133316,157.8773026
211,176.6651073,172.2941789,159.5198518,157.6334421
212,176.2414443,171.9221654,159.733641,157.597133
213,176.4520214,171.614709,158.3420299,157.2944035
214,175.7156802,171.5238724,158.0194822,157.1665876
215,174.8089315,171.4319337,159.0567671,157.1116282
216,174.7886323,171.085073,158.9996637,157.5870683
217,172.9381246,171.1789492,159.558244,157.0385695
218,172.9381246,171.5485942,159.3126297,156.5997968
219,171.3421427,171.7584019,159.7828187,155.7984334
220,170.6660111,171.8015788,160.0329585,155.2480186
221,168.4103962,171.7085183,160.9684473,155.3224104
222,167.5496329,171.845316,160.9684473,155.3271841
223,167.0778636,171.845316,161.5650512,155.3271841
224,166.0851062,171.9372547,162.1641569,155.3743784
225,163.9161722,172.2167583,162.8571333,155.8031745
226,162.2865656,172.2167583,163.8100382,156.0224487
227,160.7252322,172.935582,164.4191368,156.5507819
228,159.5649742,172.935582,165.0271979,156.7755889
229,159.2717251,173.0255635,164.771476,157.0928018
230,158.5913201,173.0255635,165.1323484,157.8263076
231,157.3864526,172.5391588,165.7407643,157.8635521
232,157.0090149,172.5391588,166.1018413,158.1050375
233,156.052652,172.032098,165.9413936,157.9779024
234,155.9584496,172.032098,166.0403082,158.2230254
235,154.6667602,171.5421734,166.7536174,157.4286673
236,154.8799362,171.6383532,166.5036264,157.7386364
237,154.2737799,171.2906972,167.1135175,157.3562399
238,154.6198051,171.2906972,166.7602307,157.6093321
239,154.3616547,171.2906972,167.2757469,157.8978548
240,154.7065779,171.2906972,166.9119076,158.1867039
241,154.0146361,171.2906972,167.6065409,157.8978548
242,154.6138235,170.9262401,167.2530424,157.8978548
243,154.5603657,170.7860157,167.613966,157.7997183
244,154.5992062,171.2318082,167.8598242,158.2129429
245,153.8087135,170.5214372,168.2009311,157.2857057
246,154.4133104,170.5214372,167.8598242,157.2857057
247,154.0952518,169.4664733,167.9632077,156.3047001
248,153.5120514,169.1224194,168.5696984,156.2140998
249,153.5120514,169.1224194,168.5696984,155.9233977
250,152.9127114,169.44633,169.1653582,155.9233977
251,153.1616202,168.3130803,170.2277202,155.5501811
252,152.66924,167.8543699,170.7443181,155.0914707
253,152.6012011,167.0370947,171.3793399,154.9883943
254,153.2706319,166.5708045,170.9680336,155.1302856
255,153.8385327,167.0436789,170.8928076,155.2483919
256,154.1704908,167.0436789,170.5608494,155.5651968
257,153.6795888,165.8750248,171.0756795,155.145802
258,154.1106907,165.8750248,170.6106824,155.452038
259,153.936231,165.5293496,170.5351133,155.9886084
260,153.6754334,165.0251809,170.0527729,156.3685796
261,154.3788582,164.3378529,168.3431324,155.9585217
262,154.5790378,164.3709272,167.9032744,155.9585217
263,151.4827963,163.8958643,169.0747855,155.7742774
264,151.018034,163.0312603,169.3058504,155.5719666
265,150.670176,162.5391528,169.9326572,154.6050195
266,150.670176,162.3987578,169.963704,154.1888395
267,149.5254813,161.384447,170.6431554,153.554486
268,148.8420212,161.9388508,171.081188,153.7573065
269,147.5892454,161.9978155,171.6079317,154.1079717
270,147.4544546,162.2078431,171.7115364,154.8805292
271,145.5109127,160.8171348,173.215773,154.7747608
272,146.04447,160.3120879,172.8736021,154.6197681
273,144.7470901,160.5006081,173.6598083,155.1021308
274,145.0922413,159.6458049,173.0610467,154.5762909
