frame,hip2ankle_right,hip2ankle_left
1,152.1966859,150.2724784
2,157.5246854,137.3837915
3,163.1288333,139.2125922
4,163.8424251,140.9811044
5,163.3436486,141.5137192
6,165.4730806,140.4642221
7,166.3737557,140.6516754
8,165.602147,140.1141513
9,165.0717415,139.0003086
10,166.5002291,139.3843082
11,166.7668792,139.2686818
12,167.4185186,140.0439965
13,168.0740076,140.1388328
14,168.4459109,139.8738964
15,167.2663678,139.8738964
16,166.087222,138.8991134
17,166.2302466,136.554709
18,167.4185186,136.554709
19,166.2302466,136.554709
20,165.5621572,137.0200401
21,164.8879059,137.299196
22,163.688052,136.211255
23,163.688052,136.211255
24,163.688052,135.2544201
25,162.1037047,135.0942646
26,160.9038363,134.0135589
27,160.3879063,134.4484331
28,159.7547753,134.4484331
29,159.2909624,134.2813905
30,159.1799934,134.2813905
31,157.9696951,133.6712125
32,156.1398248,133.3884338
33,155.0187604,133.3884338
34,153.1954694,133.2117482
35,152.0009911,133.2117482
36,150.2018575,132.1191813
37,150.086354,129.8499177
38,150.24158,128.7747195
39,150.24158,128.1032008
40,148.4657,127.1052375
41,148.4657,127.1052375
42,148.3218049,127.1052375
43,150.1274321,126.0438947
44,149.3425571,126.0438947
45,148.050494,126.0438947
46,148.5744991,126.0438947
47,150.259455,126.4914311
48,150.6764036,126.2578182
49,149.4519394,126.2578182
50,150.001786,125.195853
51,149.32425,125.195853
52,149.6763931,125.195853
53,149.0038813,123.1393882
54,148.3288877,122.8459609
55,145.4110828,122.8459609
56,145.9822352,122.8459609
57,144.7763223,123.2844405
58,144.0408088,123.243454
59,142.8481046,123.4372252
60,141.1208653,123.4372252
61,142.7873616,123.7254197
62,142.0896486,125.655002
63,142.0816013,124.9181855
64,141.4340526,125.9663307
65,141.4340526,125.655002
66,140.7414985,126.1451725
67,140.7490429,126.1451725
68,138.4299221,125.6858537
69,138.9759959,126.74126
70,138.9759959,127.2057206
71,137.1847513,125.0940616
72,135.3864366,125.6858537
73,136.0416267,125.5675282
74,136.5765501,126.1581854
75,135.30352,126.6193868
76,134.8018665,127.2141313
77,134.1727237,126.9315391
78,133.0087589,127.5192014
79,132.950071,128.1105435
80,131.7942376,129.0060168
81,129.9383906,129.0060168
82,128.8627441,129.0060168
83,128.3920846,129.2574189
84,128.325531,127.306303
85,124.5817586,125.2105526
86,122.4536599,125.7982149
87,121.8795968,125.7982149
88,121.8795968,125.7982149
89,121.3075427,125.6271624
90,120.6250585,125.6271624
91,122.7437677,126.2129884
92,120.5562844,126.2129884
93,121.0706316,126.0273734
94,119.9854861,125.5000422
