frame,phase,elbow2hip_left,elbow2hip_right
159,1,175.7996991,40.17311136
160,1,175.3698603,40.11531484
161,1,174.8378661,39.71759353
162,1,174.5712264,39.4292199
163,1,174.4796735,38.54291396
164,1,173.9807326,38.46088085
165,1,173.5526903,38.02031205
166,1,173.3535665,38.17687999
167,1,172.5682957,37.79251657
168,1,170.8535089,38.30836974
169,1,171.0067945,38.52066154
170,1,170.1626535,38.4025259
171,1,168.7751601,38.16644365
172,1,168.7670711,38.50456545
173,1,169.1548303,38.56492791
174,1,167.7917777,38.47262944
175,1,167.5108218,38.49673591
176,1,167.5293065,38.37389941
177,1,167.1963619,38.31542101
178,1,167.0743444,37.9181907
179,1,167.0264802,37.7266192
180,1,167.230131,37.52541722
181,1,166.9466693,37.27893915
182,1,166.866558,36.94825254
183,1,166.8354246,36.80036474
184,1,167.1207866,36.63465692
185,1,166.8113387,36.35593643
186,1,166.3199048,36.36275397
187,1,164.2071485,36.23462398
188,1,163.6719479,36.10889221
189,1,161.9089004,36.56408653
190,1,161.6969045,36.26623861
191,1,159.8091113,36.51666608
192,1,160.4483568,36.79158347
193,1,159.1045234,37.16734542
194,1,159.400406,37.45888837
195,1,157.9372546,37.4489148
196,1,158.3719214,37.53171804
197,1,157.3409702,37.33160908
198,1,156.7052953,37.68883317
199,1,155.6582576,37.48472459
200,1,154.7662924,37.30418568
201,1,152.8210647,37.68945024
202,1,153.1056173,37.86381217
203,1,151.4246842,38.05502725
204,1,150.674161,38.03910238
205,1,148.429077,38.99797606
206,1,147.5764428,39.44103509
207,1,145.6386138,40.11821826
208,1,145.2344147,40.16676215
209,1,141.8189272,40.30539353
210,1,141.3081482,40.46957498
211,1,139.3796248,41.19606165
212,1,139.6836644,41.14644644
213,1,138.0577027,41.27009847
214,1,137.0576126,41.36286732
215,1,134.3040056,41.21033964
216,1,133.1200987,40.82747308
217,1,128.2525237,41.40620916
218,1,127.6613897,41.18140412
219,1,123.5216297,42.32602068
220,1,120.7579662,43.03046768
221,1,117.0614792,44.4761424
222,1,116.3018821,45.40240742
223,1,113.4630375,46.61863658
224,1,111.1187964,47.56093589
225,1,108.2659904,49.73461003
226,1,107.8213947,50.30929335
227,1,103.8850787,52.32092089
228,1,103.5648384,52.86997947
229,1,99.42979988,54.98386289
230,1,97.52726574,54.9891619
231,1,94.54370617,56.62373384
232,1,92.03992342,57.33331603
233,1,85.32336786,59.98980143
234,1,83.96854485,60.18338501
235,1,51.55622262,61.24355442
236,1,78.43240318,58.83692568
237,1,81.84550519,61.26677602
238,1,70.92020365,78.45853489
239,1,72.03393638,72.82698147
240,1,69.59581572,70.50064244
241,1,71.2544335,65.27586993
242,1,72.45406906,63.65416367
243,1,74.75829555,62.13048214
244,1,75.48240944,60.05592679
245,1,74.14565093,58.81558998
246,2,76.47052867,58.10275998
247,2,77.64324578,53.55922453
248,2,77.39854261,52.05544474
249,2,83.11266274,50.12769995
250,2,82.25980454,47.78243748
251,2,86.2468204,44.76814518
252,2,89.90389625,48.34585123
253,2,96.77356167,45.8319598
254,2,96.09655399,45.12915405
255,2,99.29273788,43.3653376
256,2,98.88790756,42.43975844
257,2,100.7557919,41.39328256
258,2,100.8689664,40.65870436
259,2,101.7830768,36.62258959
260,2,104.0357838,34.86106095
261,2,109.5349689,32.45033059
262,2,111.6192273,31.73920061
263,2,117.7862277,30.57842805
264,2,118.2227212,29.98602433
265,2,124.2775208,28.81669491
266,2,29.99248687,128.6801857
267,2,26.15903319,133.3036247
268,2,116.6261417,20.50045836
269,2,27.10156449,132.6742187
270,2,26.05999949,138.7874209
271,2,23.33415126,142.7949896
272,2,22.48670353,142.7917879
273,2,22.69362685,143.0024559
274,2,23.14613046,144.1145606
275,2,24.43081485,145.6914434
276,2,22.91923606,144.2141185
277,2,19.22391452,147.4888915
278,2,18.90657659,148.3170827
279,2,18.30494794,149.3805585
280,2,17.63459011,151.9360974
281,2,18.08502917,152.5218175
282,2,18.07488012,149.6889403
283,2,19.15254776,149.1966482
284,2,20.1355883,150.293325
285,2,19.59610928,153.047286
286,2,20.11086048,153.7426926
287,2,20.84904289,155.2072252
288,2,21.60330382,155.5022167
289,2,22.31838262,160.4446493
290,2,22.95645068,160.8157009
291,2,23.23345099,161.8724999
292,2,23.63600901,162.0978445
293,2,23.44212067,163.8527369
294,2,25.00335404,164.3402622
295,2,25.08755019,166.5255769
296,2,25.15605095,166.6532871
297,2,27.0953961,168.8950652
298,2,25.46698195,168.4986661
299,2,25.8855458,169.5451816
300,2,26.23339507,169.3200921
301,2,24.58258934,170.9190898
302,2,24.10452393,170.7656259
303,2,23.85816015,171.4356411
304,2,24.35443426,172.1735031
305,2,23.88656482,174.1179274
306,2,23.40159458,174.753424
307,2,22.8036529,177.1149703
308,2,22.2923264,177.1665752
309,2,22.12948362,178.666246
310,2,22.27929878,177.139605
311,2,21.51637622,179.3327445
312,2,21.11857872,178.816053
313,2,20.23501325,177.5432139
314,2,19.95806402,176.6924018
315,2,19.06847114,176.3863255
316,2,18.18640421,176.2267668
317,2,17.69097389,173.0377539
318,2,17.79020469,172.5113038
319,2,16.92028765,170.1046596
320,2,17.10615882,169.3919865
321,2,16.01430588,167.3061365
322,2,15.82956858,166.4106217
323,2,16.55751544,161.719501
324,2,16.89310459,163.1814853
325,2,16.26325551,161.4179448
326,2,15.69823636,160.985804
327,2,12.91102424,160.1271937
328,2,13.17990023,159.5603978
329,2,7.034411832,158.1167094
330,2,4.04558867,157.2336863
331,2,6.779490764,153.5260364
332,2,5.144012878,153.94797
333,2,4.798607177,152.1003281
334,2,8.507018153,152.6283631
335,2,7.157884058,148.7205014
336,2,8.038588815,148.4924706
337,2,8.052687684,144.0098784
338,2,8.50149547,142.3283153
339,2,16.24838975,137.8840627
340,2,18.20095332,137.0516812
341,2,17.28521395,131.1597509
342,2,16.49214644,130.6162884
343,2,6.55155711,128.0188997
344,2,4.8669086,129.942892
345,2,2.133568336,126.8889135
346,2,3.060326867,126.1010342
347,2,4.294220818,124.0195245
348,2,7.738326942,125.2860654
349,2,6.767403962,123.6315587
350,2,6.298707401,123.4866383
351,2,4.996420556,119.947638
352,2,5.799325706,121.8126445
353,2,8.922964854,118.4214942
354,2,9.928453429,118.9283601
355,2,10.49161033,113.0581909
356,2,11.12834872,110.7843078
357,2,13.24091106,110.0510855
358,2,16.1098266,109.3700939
359,2,15.88278964,107.2847517
360,2,15.57312716,106.0276164
361,2,13.24984192,102.1391185
362,2,12.69930066,101.9950805
363,2,12.19446071,100.1983659
364,2,11.98859722,99.24522673
365,2,7.367230696,94.44307753
366,2,6.868535426,92.9045105
367,2,0.950067332,89.99009399
368,2,0.564020294,87.19472343
369,2,0.520563747,84.81316079
370,2,0.723619283,84.02311842
371,2,1.797061922,80.62451635
372,2,0.653879267,81.25010617
373,2,5.62861802,77.7467828
374,2,5.363744035,77.09211318
375,2,4.885515668,74.66842335
376,2,5.36885325,74.77671452
377,2,0.703847287,73.26146448
378,2,2.581790889,74.27255614
379,2,10.3202962,73.61562146
380,2,11.92317747,74.82136731
381,3,15.69089862,70.32200706
382,3,17.13477698,69.98456072
383,3,17.05886341,68.12275752
384,3,18.56901967,68.12788443
385,3,20.09382861,64.73606887
386,3,20.82450666,64.70375868
387,3,20.71221974,62.92909283
388,3,19.90561937,61.75170888
389,3,20.95311507,61.49843892
390,3,19.80492914,60.6710339
391,3,19.19896846,58.67751935
392,3,17.46120455,58.59317004
393,3,19.06074901,57.75701926
394,3,19.24268616,56.99459411
395,3,18.13221701,56.23505415
396,3,14.75601461,55.11847465
397,3,14.40650957,54.712556
398,3,14.87018338,54.27802982
399,3,15.90114224,52.87131485
400,3,15.92942861,52.43473359
401,3,16.31231819,51.01543866
402,3,15.14086302,51.75714867
403,3,16.82842581,51.09351172
404,3,14.26573431,50.95303
405,3,3.373693221,42.67145478
