frame,phase,hip2ankle_right,hip2ankle_left
141,1,150.4664216,141.0660205
142,1,150.1991453,140.796427
143,1,150.2013538,141.0932761
144,1,149.1533322,141.7635434
145,1,149.8262987,141.7635434
146,1,150.0768366,142.0984043
147,1,149.622231,141.5237634
148,1,149.1768743,140.1927581
149,1,148.3744405,139.9602272
150,1,147.3069251,139.0180467
151,1,147.1951428,139.0979246
152,1,147.8928625,138.19403
153,1,147.3481492,138.0525801
154,1,146.555159,137.8340201
155,1,146.1026753,137.3215306
156,1,145.401531,136.98516
157,1,144.3087442,137.2085213
158,1,143.9433424,136.5557092
159,1,143.9433424,137.4628167
160,1,142.7488569,136.9265632
161,1,142.2825681,136.6704772
162,1,140.9620274,135.9808913
163,1,139.2986634,134.379847
164,1,137.4564121,132.8367744
165,1,135.4753831,130.0768765
166,1,99.23048265,127.2527187
167,1,123.1068499,127.4374723
168,1,134.8231617,124.3705719
169,1,137.2760518,125.2295909
170,1,137.6532935,124.0860709
171,1,138.6955548,124.1492884
172,1,136.7146137,123.39884
173,1,135.7811975,86.698974
174,1,134.0144749,98.30453546
175,1,134.7243834,118.719307
176,1,134.4744028,125.0447113
177,1,135.3662843,125.9683912
178,1,134.9634593,126.1116215
179,1,135.3245845,126.8306105
180,1,135.4658091,128.3863221
181,1,135.8384734,129.4975839
182,1,135.8384734,129.3358879
183,1,136.4464333,129.9356701
184,1,135.6972488,129.8022382
185,1,135.3927513,129.3515324
186,1,135.0202903,128.6878261
187,1,134.8509149,128.0277523
188,1,134.7080757,127.2292246
189,1,135.0202903,127.2292246
190,1,135.3003946,127.2292246
191,1,134.8774511,127.7453507
192,1,135.044645,127.9552893
193,1,135.044645,128.8347938
194,1,135.5783171,128.8347938
195,1,135.5783171,130.4043452
196,1,136.4886804,130.7140866
197,1,136.6457469,132.0943555
198,1,136.6457469,132.2458781
199,1,137.1666556,133.0492153
200,1,137.5487176,132.8858574
201,1,137.1573142,133.2512592
202,1,137.9325887,132.8145853
203,1,137.951399,132.686586
204,1,138.3074245,133.2405677
205,1,137.7924071,134.6182189
206,1,137.8197251,135.5717952
207,1,138.70567,136.6140372
208,1,139.4338273,136.1796509
209,1,139.3085813,135.6746668
210,1,139.8345272,136.8141919
211,1,140.225408,136.100519
212,1,138.2448107,134.8110524
213,1,138.1269742,134.0122396
214,1,137.3613747,94.46345456
215,1,137.0165932,119.961893
216,1,138.1978516,128.1678457
217,1,137.8967479,129.2499857
218,1,137.5211625,128.287258
219,1,136.9072654,128.6197041
220,1,137.2227197,127.6203264
221,1,136.8513496,127.1110852
222,1,137.1642708,127.1305422
223,1,137.6023589,127.377088
224,1,137.0844074,127.0380433
225,1,137.0995967,127.4165394
226,1,137.4502904,127.8245117
227,1,138.6544508,128.4142334
228,1,138.5189827,128.8268186
229,1,138.7878726,128.537046
230,1,139.0843443,128.8366894
231,1,139.1748334,129.8836807
232,1,140.2057701,130.5735255
233,1,141.3362632,131.384868
234,1,142.2720614,134.2672205
235,1,143.232548,90.51523593
236,1,144.8402698,130.1859594
237,1,146.0637379,139.935438
238,1,146.5879298,141.9584467
239,1,147.9312858,141.8060997
240,1,148.974709,143.6955029
241,1,150.0321791,144.312177
242,1,150.3361594,146.0709903
243,1,151.0732257,146.859914
244,1,150.7751989,146.9427812
245,1,150.3133745,147.2227033
246,1,150.5263081,146.1456175
247,1,150.4864598,146.6068943
248,1,150.1523856,146.9233384
249,1,150.9344002,149.5468626
250,1,151.7569134,149.1134142
251,1,151.2243616,150.8545464
252,1,152.5243464,151.3610775
253,1,156.0775098,151.3110203
254,1,155.8414698,151.6306208
255,1,157.1594423,152.7378626
256,1,156.7924476,151.0542496
257,1,159.734941,151.7671553
258,1,159.3595308,152.410858
259,1,161.2005596,165.0216703
260,1,160.7424371,168.6743987
261,1,163.2374455,171.4022686
262,1,163.3725197,171.3710532
263,1,164.6271365,172.6954316
264,1,166.3235638,171.908609
265,1,168.3321574,176.7038614
266,1,169.3815042,176.9789739
267,1,168.6304937,178.3387992
268,1,169.4367238,178.9726564
269,1,167.3194578,178.3917948
270,1,169.0717752,179.8715768
271,1,168.0937297,179.6238753
272,1,168.2544081,178.7796156
273,1,168.9776342,177.380775
274,1,169.3104632,176.3027929
275,1,169.7132393,176.1458356
276,1,170.4316876,176.7656224
277,1,170.4862107,176.7137675
278,1,170.3563866,177.6318045
279,1,170.0206809,177.8895648
280,1,170.9557916,177.4494625
281,1,170.8798799,178.3592387
282,1,170.7473718,179.360422
283,1,170.2830808,179.3124764
284,1,170.9460388,179.9509345
285,1,170.2143844,178.1257348
286,1,169.8348289,177.076681
287,1,169.9959505,176.757167
288,1,169.0165909,177.0173922
289,1,169.9870509,179.6660799
290,1,170.8835873,178.7240149
291,1,170.7230925,178.3264047
292,1,171.0292926,178.8335904
293,1,172.9316619,178.4561246
294,1,172.2971151,178.4958345
295,1,170.6777576,173.5324845
296,1,171.0024346,173.994115
297,1,174.4795319,174.5529421
298,1,174.8596596,174.6223614
299,2,175.3152532,175.0847131
300,2,175.8877712,176.5695612
301,2,176.0548138,177.7900122
302,2,175.0451606,177.898903
303,2,175.0216075,176.9834838
304,2,173.9502045,176.7357928
305,2,172.9942255,175.2203673
306,2,173.3042672,175.8175041
307,2,173.8699913,176.2152881
308,2,174.4194906,176.8594188
309,2,174.7977711,176.3007091
310,2,174.7119627,176.9792779
311,2,174.7119627,177.3237855
312,2,174.6496408,176.743178
313,2,174.6496408,176.7454294
314,2,174.9429947,176.4368315
315,2,174.9429947,176.7009295
316,2,174.9429947,176.7009295
317,2,175.0274347,176.932049
318,2,175.4730063,177.5535948
319,2,175.3126703,177.8269788
320,2,174.763035,178.1307305
321,2,174.5387268,178.1189269
322,2,174.5387268,177.752749
323,2,174.8659719,178.6481539
324,2,174.9030941,178.3619742
325,2,173.9081949,178.3859942
326,2,173.7825978,178.0094349
327,2,174.1107783,178.1834612
328,2,174.7648426,178.8302934
329,2,174.7648426,177.8308541
330,2,174.6910379,178.4763096
331,2,174.6910379,179.1994865
332,2,174.7648426,179.2770167
333,2,174.3841453,179.2406984
334,2,174.3266751,178.920876
335,2,174.7488296,179.2455313
336,2,174.7488296,179.4935973
337,2,174.7878244,179.9025215
338,2,175.4922724,178.9043715
339,2,174.6025238,177.6591594
340,2,174.6437975,177.0482862
341,2,174.868652,176.6493222
342,2,175.2775931,176.9899985
343,2,175.2486615,176.7360709
344,2,175.2914711,176.7525692
345,2,175.6516862,176.531027
346,2,175.4686658,176.2704585
347,2,174.5882742,173.9793025
348,2,174.8955036,173.9480227
349,2,173.9741839,172.8912534
350,2,174.1233225,172.8912534
351,2,174.1706285,173.1917934
352,2,173.9041385,172.8572148
353,2,174.6397406,173.2003622
354,2,174.375372,172.8635651
355,2,174.6556881,172.7668742
356,2,174.8657467,172.4318616
357,2,174.3680643,173.4839053
358,2,174.335875,173.1817854
359,2,174.6345728,173.7950857
360,2,174.9550225,173.4853759
361,2,174.7364938,173.4540676
362,2,174.0764124,173.11915
363,2,174.8356122,173.0948805
364,2,174.7534964,172.7877755
365,2,175.1355982,173.7574992
366,2,175.4520777,174.1030781
367,2,176.4993333,174.6531302
368,2,175.5348168,174.6652097
369,2,175.5160856,175.5666748
370,2,174.9680323,175.8580778
371,2,175.1493654,176.7996747
372,2,175.2132461,177.0467254
373,2,175.8418846,177.3597772
374,2,176.1602466,176.6641824
375,3,176.8079514,177.9061772
376,3,176.859752,177.8503989
377,3,176.7160802,178.4366246
378,3,177.0100467,178.7237436
379,3,177.0644616,178.3313788
380,3,177.5311083,177.9375622
381,3,178.1657559,177.5511184
382,3,178.6342293,176.809851
383,3,179.0893056,176.7127268
384,3,178.6368329,176.3152705
385,3,179.6679976,176.333119
386,3,179.0765274,176.6745686
387,3,179.8612696,176.435701
388,3,179.7751355,176.4114915
389,3,178.3720101,174.2438162
390,3,178.7620961,174.029984
391,3,177.3093644,172.0714098
392,3,177.273689,171.6458088
393,3,177.413402,171.1201107
394,3,176.5409431,170.848215
395,3,176.4547163,168.9414417
396,3,176.4132114,168.6900675
397,3,175.929278,167.4836534
398,3,175.8989929,166.189369
399,3,174.9629893,166.2103917
400,3,174.5055111,165.5976175
401,3,174.2408118,165.6476718
402,3,173.7131066,165.7855552
403,3,171.5847819,167.690914
404,3,170.3422442,167.7008894
405,3,169.8903674,167.9068158
406,3,169.4238259,167.2065084
407,3,169.353576,168.5821633
408,3,168.4358508,169.1530139
409,3,166.5249843,168.4923381
410,3,166.7259605,168.1045031
411,3,166.9312897,167.7832981
412,3,164.3679307,166.7564161
413,3,164.0633411,167.1268441
414,3,161.4191848,165.2428382
415,3,160.3967447,164.1903115
416,3,158.2750325,162.7907184
417,3,156.4877496,162.4240061
418,3,153.8045442,162.1799613
419,3,152.3933221,162.0217412
420,3,148.3983423,160.8764956
421,3,146.4383555,158.1387591
422,3,143.4578704,156.2159749
423,3,138.7230304,154.3966231
424,3,135.2940373,153.1267159
425,3,132.4867673,149.9612575
426,3,128.9226396,147.3963704
427,3,126.058584,146.3216818
428,3,124.251662,145.4493551
429,3,122.598731,142.8601493
430,3,120.9637565,142.2955324
431,3,117.8265606,142.2460352
432,3,116.7184121,140.8382957
433,3,111.0403539,139.1327055
434,3,108.040274,138.4341504
435,3,105.2675554,136.1660194
436,3,104.2733118,135.1977072
