frame,hip2ankle_right,hip2ankle_left
201,130.8888197,112.0434177
202,130.1232718,112.7045434
203,146.888658,112.4786528
204,112.2362487,116.9523072
205,109.4335475,116.5803102
206,111.029126,120.0506363
207,112.3327307,119.2169432
208,114.3709283,123.2691435
209,114.9119689,125.7889735
210,115.5060503,126.7922107
211,112.4460749,125.7754505
212,113.2226593,126.577243
213,112.8674047,126.3723917
214,113.7472165,127.6624075
215,120.2633498,128.4371542
216,123.8855147,130.1142282
217,124.5750368,130.7371112
218,127.6364958,131.4729723
219,128.6137086,131.0886326
220,129.1740708,135.1726349
221,130.5281318,136.5019153
222,132.1248525,139.1903331
223,134.2985621,135.535459
224,136.6503527,131.7947841
225,137.9915056,129.8823699
226,139.4697747,138.8618938
227,140.6096084,141.2209499
228,143.7659651,150.5809238
229,151.0877245,150.0432684
230,159.1526123,151.8405696
231,163.3983348,158.2921766
232,166.6504123,157.4230346
233,165.5116654,156.8149405
234,168.9964591,158.3659041
235,170.8626702,162.7044193
236,173.5622133,162.4715057
237,177.0089013,164.2290685
238,179.5707071,167.2606824
239,178.4609634,167.5453622
240,179.7011482,167.5505493
241,179.2623269,170.0485339
242,177.915514,169.3302172
243,176.9892882,169.4935457
244,175.1334935,170.4555067
245,175.2628072,170.4982064
246,174.5834077,173.1133119
247,173.5270251,172.7864105
248,172.5836405,173.1895404
249,172.0815947,173.3395887
250,171.7516715,175.7265218
251,172.4056201,177.0506245
252,173.1400963,176.9928048
253,171.6020601,177.7650055
254,171.502941,178.2458218
255,170.9936515,178.5187153
256,168.9984581,178.4126163
257,168.7018359,178.9599488
258,167.4977131,179.5106846
259,169.2521085,179.8696669
260,168.5272445,179.2805985
261,170.4112375,179.1068197
262,171.3947362,179.1068197
263,170.1854295,178.1561416
264,169.8218915,178.2764343
265,168.7965651,176.8210338
266,168.9015146,177.3844458
267,170.1706895,178.3186934
268,170.253831,178.2073836
269,170.4727644,178.6105578
270,170.6213178,178.8725718
271,171.2410402,178.4816287
272,170.7991379,178.8725718
273,171.2242819,179.5080741
274,172.577217,179.9697328
275,172.6756633,179.847618
276,174.5295598,179.0389365
277,176.4061632,178.1109742
278,177.734227,177.9288759
279,177.8807444,177.1063397
280,178.4064683,176.0833279
281,179.9191499,175.6712699
282,179.0063785,172.793943
283,177.8813345,172.9262656
284,176.3768951,173.7291865
285,176.3768951,174.1706446
286,174.0113997,174.8574837
287,174.3702624,174.7697136
288,174.2224844,173.3638086
289,174.4015912,173.0345815
290,173.9020969,175.6349845
291,173.3583496,175.4745556
292,173.720973,173.7272208
293,173.0056968,173.6535072
294,174.9555658,171.7514616
295,175.7868373,171.1537947
296,173.9898052,171.7638757
297,174.7366751,171.6392295
298,174.28256,171.3269359
299,175.4796367,172.4204902
300,175.1520891,173.2825096
301,173.8173267,173.443453
302,174.8594953,174.6383415
303,172.4782427,174.5665306
304,171.6106376,174.9490089
305,171.6519265,174.8792434
306,170.1746049,174.4157886
307,168.3516365,174.9243238
308,166.8778165,174.8469916
309,165.8462159,175.9399433
310,164.5513672,176.5014957
311,166.3356926,177.5157815
312,167.7427342,178.1840974
313,167.2093522,178.2667752
314,168.3619067,178.7851508
315,168.1406209,179.5212259
316,168.3213982,179.558139
317,166.5188627,179.4218053
318,168.1376985,178.8870428
319,168.1622661,178.8870428
320,167.6446401,179.2151754
321,169.5338548,178.4815064
322,169.9210271,177.9381546
323,171.2236393,176.1284669
324,172.0806295,175.6474806
325,173.1857634,174.9398172
326,174.0286346,174.8249369
327,174.4193207,172.9538442
328,173.4516627,172.3863588
329,172.043335,170.9607786
330,170.2881165,170.0638871
331,172.6163668,169.1314747
332,173.4910436,169.5155644
333,172.6087355,169.5155644
334,172.4357108,168.1277289
335,173.1842591,167.1950603
336,173.3253845,166.7015653
337,172.9882531,165.6777567
338,173.765055,165.2897087
339,173.195386,163.7517307
340,172.1243383,163.7222856
341,172.638216,164.1192112
342,172.3682014,164.0361223
343,172.7191278,162.0661821
344,172.9132227,160.0915297
345,171.807766,158.2194026
346,172.2205839,156.8054505
347,172.0876299,155.7787782
348,172.2760822,155.5220836
349,172.9743513,155.4082289
350,172.8541985,155.0551339
351,174.4999538,155.4688974
352,174.8708564,154.572148
353,175.1020852,156.2803716
354,174.1726219,156.4645318
355,172.6953736,157.2413566
356,172.5287453,157.3584474
357,172.8566739,158.2808232
358,173.0887729,159.1452719
359,172.7370658,160.3163099
360,173.0507152,160.7405736
361,173.4717752,161.1198527
362,174.0938589,161.1475894
363,174.9440086,161.2005862
364,175.2021835,162.0569986
365,175.5685285,161.962058
366,176.1449193,162.15959
367,176.7272692,160.5173993
368,176.4433735,160.1524629
369,177.8862787,158.9193621
370,178.3959997,159.3410899
371,178.931422,158.4517434
372,179.3547092,157.8911883
373,178.7946188,158.1334346
374,177.0786453,158.4789026
375,175.9986886,159.4262634
376,175.6772996,159.795272
377,175.0956738,159.7060263
378,173.4180553,160.2034319
379,172.7904057,160.2034319
380,171.7858155,160.4692185
381,171.3274232,160.8273183
382,170.4232324,160.2282026
383,169.5073154,160.5419844
384,166.2089412,160.2338138
385,164.9794579,160.5801571
386,162.0621595,159.5566331
387,159.7182629,157.6385889
388,156.3225532,155.8458216
389,152.406715,153.2509333
390,149.383086,151.5807202
391,147.9119242,149.1741355
392,146.1255081,145.5405689
393,143.7134264,144.5426692
394,140.4716234,142.9779938
395,137.5252585,142.004573
396,135.0614629,140.8318634
397,132.1500452,137.7139986
398,128.1378065,135.7239604
399,124.1942759,133.7670368
400,119.1025862,131.3199121
401,114.5770766,129.0126227
402,110.5661643,125.6066355
403,105.7699572,123.8034121
404,100.349569,122.0701974
405,96.51462801,124.2456806
406,93.84217957,122.2929104
407,90.90499862,122.2674993
408,89.36340642,123.6770782
409,87.30412084,126.290788
